This page needs to be updated as new comp combinations are added or changed
1 Wanderer
2 Vanquisher
4 Vanquisher
6 Vanquisher
1 Technogenius
2 Strategist
3 Strategist
4 Strategist
5 Strategist
2 Sorcerer
4 Sorcerer
6 Sorcerer
8 Sorcerer
2 Slayer
4 Slayer
6 Slayer
2 Rogue
4 Rogue
1 Reaver King
2 Multicaster
3 Multicaster
4 Multicaster
2 Juggernaut
4 Juggernaut
6 Juggernaut
2 Invoker
4 Invoker
6 Invoker
8 Invoker
2 Gunner
4 Gunner
6 Gunner
1 Empress
2 Challenger
4 Challenger
6 Challenger
8 Challenger
2 Bruiser
4 Bruiser
6 Bruiser
2 Bastion
4 Bastion
6 Bastion
8 Bastion
3 Bilgewater
5 Bilgewater
7 Bilgewater
9 Bilgewater
1 Darkin
2 Darkin
3 Demacia
5 Demacia
7 Demacia
9 Demacia
2 Freljord
3 Freljord
3 Ionia
6 Ionia
9 Ionia
2 Ixtal
3 Ixtal
4 Ixtal
3 Noxus
5 Noxus
7 Noxus
9 Noxus
3 Piltover
6 Piltover
2 Shurima
4 Shurima
6 Shurima
9 Shurima
2 Targon
3 Targon
4 Targon
3 Void
6 Void
8 Void
2 Zaun
4 Zaun
6 Zaun
